deal_id,company,contact_name,stage,deal_value,probability_pct,sales_rep,created_date,expected_close_date,lead_source,industry,days_in_stage,weighted_value
DEAL-5000,Company_47,Contact_266,MQL,378312.53,56,Rep_13,2024-09-09,2024-03-01,Cold Call,Manufacturing,71,211855.02
DEAL-5001,Company_77,Contact_186,Lead,81051.63,23,Rep_7,2024-04-05,2024-03-06,Website,Logistics,20,18641.87
DEAL-5002,Company_6,Contact_158,Proposal,434077.85,58,Rep_11,2024-09-17,2024-12-19,Partner,Technology,68,251765.15
DEAL-5003,Company_141,Contact_157,Closed Lost,124075.69,53,Rep_15,2024-03-08,2025-06-22,Event,Technology,46,65760.12
DEAL-5004,Company_183,Contact_166,Lead,84403.89,34,Rep_1,2024-02-29,2025-01-06,Website,Finance,50,28697.32
DEAL-5005,Company_157,Contact_267,Opportunity,40097.66,37,Rep_2,2024-07-18,2025-06-03,Referral,Technology,76,14836.13
DEAL-5006,Company_62,Contact_235,Closed Lost,357125.74,77,Rep_14,2024-09-09,2025-04-17,Referral,Technology,15,274986.82
DEAL-5007,Company_97,Contact_28,Closed Lost,97170.87,69,Rep_9,2024-03-16,2024-07-15,Partner,Logistics,36,67047.9
DEAL-5008,Company_191,Contact_160,MQL,102845.57,49,Rep_10,2024-11-15,2024-04-19,Partner,Retail,26,50394.33
DEAL-5009,Company_85,Contact_86,Proposal,88999.82,62,Rep_6,2024-11-14,2024-11-28,Cold Call,Manufacturing,50,55179.89
DEAL-5010,Company_167,Contact_50,Closed Won,156368.59,27,Rep_13,2024-01-30,2024-12-28,Referral,Retail,15,42219.52
DEAL-5011,Company_115,Contact_259,Negotiation,470899.66,52,Rep_10,2024-04-21,2025-03-11,Email Campaign,Manufacturing,11,244867.82
DEAL-5012,Company_100,Contact_257,Negotiation,245877.73,58,Rep_4,2024-07-22,2024-11-09,Referral,Manufacturing,62,142609.08
DEAL-5013,Company_117,Contact_281,Closed Won,134134.58,29,Rep_10,2024-06-28,2025-05-23,Website,Technology,5,38899.03
DEAL-5014,Company_45,Contact_118,Opportunity,89343.43,21,Rep_1,2024-04-03,2025-04-16,Referral,Technology,38,18762.12
DEAL-5015,Company_85,Contact_128,Lead,14356.2,54,Rep_4,2024-07-12,2024-12-11,Referral,Healthcare,88,7752.35
DEAL-5016,Company_61,Contact_233,Negotiation,185671.36,94,Rep_4,2024-12-18,2024-11-24,Website,Healthcare,89,174531.08
DEAL-5017,Company_151,Contact_58,Negotiation,59480.43,48,Rep_12,2024-04-22,2024-03-10,Event,Logistics,16,28550.61
DEAL-5018,Company_122,Contact_17,Closed Won,18370.94,90,Rep_12,2024-03-21,2025-03-16,Cold Call,Finance,83,16533.85
DEAL-5019,Company_80,Contact_126,Closed Lost,55974.95,85,Rep_2,2024-09-27,2025-01-26,Email Campaign,Finance,30,47578.71
DEAL-5020,Company_164,Contact_189,SQL,162668.15,75,Rep_14,2024-07-27,2025-05-11,Email Campaign,Retail,18,122001.11
DEAL-5021,Company_91,Contact_137,Closed Lost,376677.53,89,Rep_13,2024-09-10,2024-04-15,Event,Finance,45,335243.0
DEAL-5022,Company_190,Contact_64,Lead,38158.19,44,Rep_7,2024-08-24,2024-05-11,Event,Logistics,44,16789.6
DEAL-5023,Company_121,Contact_156,Closed Lost,340943.59,77,Rep_4,2024-10-05,2025-01-21,Email Campaign,Technology,34,262526.56
DEAL-5024,Company_177,Contact_282,MQL,312168.55,18,Rep_7,2024-09-23,2024-10-25,Partner,Logistics,39,56190.34
DEAL-5025,Company_197,Contact_83,Negotiation,441585.15,35,Rep_9,2024-08-09,2024-12-12,Email Campaign,Retail,9,154554.8
DEAL-5026,Company_66,Contact_120,Negotiation,96073.57,58,Rep_10,2024-06-15,2024-09-28,Website,Logistics,24,55722.67
DEAL-5027,Company_52,Contact_94,Negotiation,398162.51,8,Rep_6,2024-06-17,2025-01-07,Partner,Finance,18,31853.0
DEAL-5028,Company_167,Contact_88,Closed Lost,433108.28,77,Rep_2,2024-04-07,2025-01-15,Event,Logistics,83,333493.38
DEAL-5029,Company_47,Contact_197,Proposal,488359.65,92,Rep_10,2024-06-13,2024-06-01,Cold Call,Logistics,44,449290.88
DEAL-5030,Company_150,Contact_113,MQL,405231.93,15,Rep_11,2024-08-09,2025-03-06,Cold Call,Healthcare,49,60784.79
DEAL-5031,Company_36,Contact_186,Proposal,66265.26,99,Rep_5,2024-09-19,2024-10-27,Partner,Finance,40,65602.61
DEAL-5032,Company_174,Contact_6,SQL,473828.86,13,Rep_10,2024-10-09,2024-12-06,Cold Call,Finance,79,61597.75
DEAL-5033,Company_138,Contact_198,Proposal,408421.07,17,Rep_9,2024-05-17,2024-12-26,Cold Call,Technology,72,69431.58
DEAL-5034,Company_104,Contact_32,Opportunity,110100.97,77,Rep_8,2024-09-25,2025-02-26,Event,Retail,62,84777.75
DEAL-5035,Company_90,Contact_113,Lead,86772.71,70,Rep_1,2024-06-09,2024-07-25,Referral,Logistics,28,60740.9
DEAL-5036,Company_127,Contact_261,Negotiation,468525.0,93,Rep_5,2024-05-11,2024-03-04,Cold Call,Retail,28,435728.25
DEAL-5037,Company_78,Contact_101,Lead,82070.82,45,Rep_6,2024-02-29,2024-05-28,Event,Logistics,84,36931.87
DEAL-5038,Company_80,Contact_209,SQL,389666.18,59,Rep_13,2024-04-07,2025-06-14,Referral,Manufacturing,83,229903.05
DEAL-5039,Company_41,Contact_106,Proposal,205603.33,19,Rep_13,2024-09-05,2024-06-17,Website,Manufacturing,26,39064.63
DEAL-5040,Company_32,Contact_270,Closed Lost,363283.61,70,Rep_14,2024-03-20,2024-06-30,Cold Call,Manufacturing,30,254298.53
DEAL-5041,Company_178,Contact_285,SQL,50466.43,99,Rep_7,2024-01-29,2025-04-22,Referral,Logistics,30,49961.77
DEAL-5042,Company_150,Contact_272,SQL,363903.85,61,Rep_5,2024-04-09,2024-06-23,Cold Call,Logistics,70,221981.35
DEAL-5043,Company_89,Contact_119,SQL,258396.13,93,Rep_8,2024-12-28,2024-10-13,Website,Technology,85,240308.4
DEAL-5044,Company_166,Contact_95,Proposal,450687.3,42,Rep_12,2024-02-24,2024-08-28,Email Campaign,Retail,79,189288.67
DEAL-5045,Company_121,Contact_182,MQL,98257.22,98,Rep_10,2024-02-22,2025-01-16,Email Campaign,Healthcare,75,96292.08
DEAL-5046,Company_120,Contact_245,Proposal,59131.26,55,Rep_10,2024-05-27,2024-12-15,Referral,Logistics,32,32522.19
DEAL-5047,Company_23,Contact_157,Closed Won,102129.05,18,Rep_7,2024-05-20,2024-11-06,Email Campaign,Finance,29,18383.23
DEAL-5048,Company_108,Contact_221,Lead,43894.81,39,Rep_11,2024-12-02,2024-10-31,Website,Manufacturing,80,17118.98
DEAL-5049,Company_22,Contact_262,Closed Lost,490174.52,51,Rep_14,2024-03-28,2025-04-11,Website,Healthcare,36,249989.01
DEAL-5050,Company_137,Contact_225,Proposal,65814.03,11,Rep_11,2024-06-01,2024-12-09,Cold Call,Logistics,20,7239.54
DEAL-5051,Company_14,Contact_111,Negotiation,104421.22,90,Rep_7,2024-04-16,2024-11-03,Website,Manufacturing,75,93979.1
DEAL-5052,Company_103,Contact_75,Proposal,405794.44,27,Rep_13,2024-04-01,2025-05-07,Partner,Healthcare,43,109564.5
DEAL-5053,Company_74,Contact_130,Closed Lost,127143.43,69,Rep_15,2024-04-28,2024-04-15,Referral,Logistics,8,87728.97
DEAL-5054,Company_27,Contact_172,Negotiation,115035.2,92,Rep_12,2024-04-04,2025-04-10,Cold Call,Finance,80,105832.38
DEAL-5055,Company_95,Contact_252,Closed Lost,337793.34,46,Rep_14,2024-09-19,2024-06-05,Referral,Technology,27,155384.94
DEAL-5056,Company_40,Contact_90,SQL,202388.79,62,Rep_4,2024-10-16,2024-08-09,Cold Call,Retail,28,125481.05
DEAL-5057,Company_49,Contact_49,MQL,418562.18,54,Rep_7,2024-03-05,2024-03-07,Website,Healthcare,48,226023.58
DEAL-5058,Company_178,Contact_95,Negotiation,320943.33,77,Rep_4,2024-06-30,2024-12-04,Partner,Technology,25,247126.36
DEAL-5059,Company_70,Contact_178,MQL,147666.28,8,Rep_6,2024-04-06,2025-04-09,Referral,Logistics,74,11813.3
DEAL-5060,Company_81,Contact_70,Lead,300972.02,39,Rep_12,2024-11-13,2024-09-02,Cold Call,Technology,62,117379.09
DEAL-5061,Company_2,Contact_120,MQL,433898.5,63,Rep_11,2024-02-07,2025-01-18,Partner,Retail,51,273356.06
DEAL-5062,Company_60,Contact_77,SQL,185419.07,13,Rep_1,2024-05-29,2024-09-08,Cold Call,Finance,18,24104.48
DEAL-5063,Company_70,Contact_295,Lead,369553.01,86,Rep_12,2024-05-01,2025-03-05,Event,Finance,44,317815.59
DEAL-5064,Company_144,Contact_154,Negotiation,210837.33,65,Rep_3,2024-05-13,2025-06-30,Website,Finance,25,137044.26
DEAL-5065,Company_24,Contact_216,Proposal,273821.33,5,Rep_3,2024-12-10,2025-02-12,Referral,Healthcare,86,13691.07
DEAL-5066,Company_186,Contact_156,MQL,368181.51,6,Rep_9,2024-07-16,2024-08-13,Event,Manufacturing,71,22090.89
DEAL-5067,Company_26,Contact_4,SQL,34961.05,20,Rep_4,2024-05-19,2025-04-06,Referral,Finance,11,6992.21
DEAL-5068,Company_130,Contact_79,Closed Lost,230200.01,68,Rep_15,2024-10-22,2024-03-19,Cold Call,Manufacturing,47,156536.01
DEAL-5069,Company_1,Contact_252,Closed Lost,52130.69,54,Rep_3,2024-10-11,2025-06-24,Website,Healthcare,70,28150.57
DEAL-5070,Company_164,Contact_153,Lead,363877.74,50,Rep_3,2024-02-23,2025-04-13,Email Campaign,Manufacturing,47,181938.87
DEAL-5071,Company_139,Contact_211,Proposal,305864.1,58,Rep_12,2024-06-17,2025-01-13,Cold Call,Healthcare,12,177401.18
DEAL-5072,Company_167,Contact_228,SQL,166830.18,51,Rep_5,2024-05-30,2024-12-28,Partner,Healthcare,13,85083.39
DEAL-5073,Company_186,Contact_168,SQL,42759.35,37,Rep_11,2024-06-13,2024-07-01,Cold Call,Retail,66,15820.96
DEAL-5074,Company_166,Contact_173,Proposal,463272.22,5,Rep_11,2024-05-07,2024-09-27,Event,Manufacturing,47,23163.61
DEAL-5075,Company_124,Contact_71,Closed Lost,160926.84,7,Rep_3,2024-10-28,2024-04-19,Partner,Healthcare,49,11264.88
DEAL-5076,Company_167,Contact_75,Proposal,141311.5,70,Rep_9,2024-12-30,2024-08-12,Partner,Logistics,25,98918.05
DEAL-5077,Company_20,Contact_45,Closed Lost,54997.46,75,Rep_9,2024-01-10,2024-12-13,Event,Retail,24,41248.1
DEAL-5078,Company_129,Contact_89,Closed Won,290789.84,27,Rep_2,2024-11-09,2024-08-24,Email Campaign,Finance,37,78513.26
DEAL-5079,Company_197,Contact_188,Closed Won,136498.46,28,Rep_12,2024-11-12,2025-03-11,Cold Call,Technology,49,38219.57
DEAL-5080,Company_76,Contact_278,Closed Won,422212.28,43,Rep_13,2024-05-13,2025-04-20,Website,Healthcare,42,181551.28
DEAL-5081,Company_195,Contact_132,Closed Won,342969.56,66,Rep_15,2024-06-26,2024-11-29,Website,Technology,79,226359.91
DEAL-5082,Company_101,Contact_181,SQL,6937.88,61,Rep_2,2024-02-07,2024-08-14,Cold Call,Technology,17,4232.11
DEAL-5083,Company_94,Contact_258,Closed Lost,285008.93,58,Rep_3,2024-05-08,2024-07-26,Email Campaign,Healthcare,43,165305.18
DEAL-5084,Company_60,Contact_203,Closed Lost,119758.17,8,Rep_13,2024-03-28,2024-11-22,Website,Finance,21,9580.65
DEAL-5085,Company_22,Contact_79,Proposal,12606.72,45,Rep_5,2024-11-27,2025-02-14,Partner,Logistics,1,5673.02
DEAL-5086,Company_175,Contact_85,Negotiation,311586.75,76,Rep_10,2024-02-09,2024-05-01,Partner,Manufacturing,37,236805.93
DEAL-5087,Company_144,Contact_191,Closed Lost,106432.61,61,Rep_6,2024-05-04,2024-10-05,Website,Manufacturing,6,64923.89
DEAL-5088,Company_80,Contact_87,MQL,450319.73,81,Rep_4,2024-06-25,2024-10-01,Website,Retail,34,364758.98
DEAL-5089,Company_192,Contact_75,Lead,288823.47,71,Rep_10,2024-12-23,2024-07-18,Partner,Technology,57,205064.66
DEAL-5090,Company_37,Contact_177,Closed Lost,108546.63,90,Rep_4,2024-10-26,2024-06-24,Referral,Logistics,34,97691.97
DEAL-5091,Company_155,Contact_191,Proposal,489668.08,59,Rep_3,2024-12-08,2025-04-14,Referral,Healthcare,61,288904.17
DEAL-5092,Company_90,Contact_76,Negotiation,275488.58,59,Rep_8,2024-04-23,2024-09-27,Referral,Healthcare,27,162538.26
DEAL-5093,Company_125,Contact_15,Proposal,86908.73,57,Rep_3,2024-04-08,2024-12-06,Event,Retail,36,49537.98
DEAL-5094,Company_8,Contact_230,Proposal,261034.87,30,Rep_3,2024-07-28,2024-03-19,Website,Technology,78,78310.46
DEAL-5095,Company_122,Contact_118,Lead,479877.78,46,Rep_12,2024-05-04,2024-07-17,Referral,Healthcare,22,220743.78
DEAL-5096,Company_136,Contact_190,SQL,214984.06,21,Rep_8,2024-01-06,2024-06-17,Cold Call,Retail,45,45146.65
DEAL-5097,Company_195,Contact_52,Lead,215546.03,45,Rep_9,2024-10-24,2024-08-08,Email Campaign,Manufacturing,64,96995.71
DEAL-5098,Company_69,Contact_95,Opportunity,233257.73,19,Rep_3,2024-02-04,2025-04-14,Partner,Retail,33,44318.97
DEAL-5099,Company_15,Contact_182,Lead,143651.26,51,Rep_3,2024-03-12,2024-12-04,Referral,Logistics,28,73262.14
DEAL-5100,Company_13,Contact_38,Closed Won,85082.89,95,Rep_6,2024-12-11,2025-05-14,Referral,Logistics,63,80828.75
DEAL-5101,Company_30,Contact_95,SQL,291569.21,47,Rep_6,2024-09-24,2024-09-22,Email Campaign,Technology,7,137037.53
DEAL-5102,Company_60,Contact_215,Negotiation,447629.1,75,Rep_7,2024-08-23,2025-03-10,Cold Call,Technology,24,335721.82
DEAL-5103,Company_166,Contact_231,Lead,369186.22,46,Rep_3,2024-02-17,2024-05-18,Email Campaign,Retail,37,169825.66
DEAL-5104,Company_39,Contact_106,Lead,52612.77,91,Rep_14,2024-04-01,2025-04-02,Referral,Manufacturing,20,47877.62
DEAL-5105,Company_29,Contact_35,Opportunity,203420.24,24,Rep_6,2024-03-16,2024-12-23,Email Campaign,Retail,48,48820.86
DEAL-5106,Company_7,Contact_8,Closed Won,7621.46,84,Rep_13,2024-08-22,2024-03-19,Partner,Finance,56,6402.03
DEAL-5107,Company_77,Contact_167,Closed Won,157430.49,73,Rep_7,2024-07-02,2025-01-30,Event,Retail,86,114924.26
DEAL-5108,Company_121,Contact_208,Proposal,336341.41,89,Rep_8,2024-05-11,2024-10-20,Event,Logistics,54,299343.85
DEAL-5109,Company_57,Contact_178,Proposal,148665.97,17,Rep_2,2024-09-29,2024-03-01,Website,Finance,53,25273.21
DEAL-5110,Company_99,Contact_122,Negotiation,421076.37,90,Rep_11,2024-10-11,2025-04-17,Partner,Healthcare,65,378968.73
DEAL-5111,Company_49,Contact_7,Negotiation,241305.19,91,Rep_1,2024-09-27,2024-11-17,Event,Retail,19,219587.72
DEAL-5112,Company_160,Contact_68,Negotiation,336238.24,33,Rep_12,2024-02-08,2024-12-21,Email Campaign,Healthcare,42,110958.62
DEAL-5113,Company_6,Contact_11,Lead,442513.29,64,Rep_14,2024-08-10,2024-12-07,Website,Technology,75,283208.51
DEAL-5114,Company_40,Contact_139,Opportunity,342991.1,60,Rep_6,2024-03-17,2024-04-14,Email Campaign,Manufacturing,16,205794.66
DEAL-5115,Company_113,Contact_93,Closed Won,449176.47,9,Rep_14,2024-04-09,2024-08-09,Event,Manufacturing,26,40425.88
DEAL-5116,Company_168,Contact_22,Opportunity,404992.35,54,Rep_11,2024-12-24,2025-02-05,Email Campaign,Retail,20,218695.87
DEAL-5117,Company_80,Contact_183,MQL,285696.8,67,Rep_1,2024-06-01,2024-08-12,Website,Retail,86,191416.86
DEAL-5118,Company_14,Contact_111,Negotiation,152130.38,24,Rep_4,2024-10-15,2025-05-07,Website,Retail,32,36511.29
DEAL-5119,Company_110,Contact_288,SQL,152580.49,39,Rep_10,2024-03-31,2024-08-02,Cold Call,Finance,29,59506.39
DEAL-5120,Company_54,Contact_125,Proposal,438288.89,60,Rep_11,2024-12-21,2024-10-10,Event,Technology,73,262973.33
